Twitter Search Rule: #BlackHistoryMonth lang:en min_retweets:500,,,,,,User Details,,,,,,,,,
Date,Screen Name,Full Name,Tweet Text,Tweet ID,App,Followers,Follows,Retweets,Favorites,Verfied,User Since,Location,Bio,Profile Image,Google Maps
2/1/2016,@janetmock,Janet Mock,Happy #BlackHistoryMonth https://t.co/zJRqLNPKZ7,694159706844168192,Twitter for iPhone,98257,1515,1159,1067,No,1/12/2009,New York City,I wrote the NYT bestseller #RedefiningRealness for #girlslikeus & host the culture show #SoPOPular. WATCH ME: http://t.co/1AMTt9vUt5 http://t.co/8pHX93Vvr4,View,
2/1/2016,@DapperJ,Jerrell Leeper,Definition of Black Excellence. Peace to my Black brothers and sisters #BlackHistoryMonth https://t.co/7siYJ8zGoA,694160164606341120,Twitter for Android,2385,2067,891,638,No,2/11/2011,#DMV ↔ #NCAT ↔ Success,Hungry Multimedia Journalist who will be THE inspiration for my kid's generation. Keep #God1st & #PositivityOverEverything! #NCATALUM,View,
2/1/2016,@Phil_Lewis_,Philip Lewis,My favorite @EBONYMag covers. #BlackHistoryMonth https://t.co/xjF2XLiYvo,694160207069450240,Twitter for iPad,12277,2512,1416,1294,No,4/23/2011,"New York, NY",Life-long Detroiter. Past: @HuffPostPol Now: @MicNews Breaking News. plewis@mic.com,View,
2/1/2016,@djolder,Daniel José Older,You COULD post that tweet about how it's unfair there's a #BlackHistoryMonth or you could do the world a favor and https://t.co/SmC2VxOurJ,694163397223563264,Twitter for Android,21240,5543,515,652,No,9/2/2009,"Brooklyn, NY",Author of the BONE STREET RUMBA series https://t.co/KzKqacdNyY and SHADOWSHAPER https://t.co/HwpyjkCtFv Youtube: https://t.co/EHn1gNampu,View,
2/1/2016,@hallecherryyy,CHÉRI,First day of #BlackHistoryMonth https://t.co/HQGiFpej5x,694165063456919552,Twitter for iPhone,844,504,1692,1378,No,6/17/2014,NYC...LA and the world,photogenic illustrator//OMEN PR intern// hallecherryy@gmail.com IG:hallecherry// #forevermauii // sc: yunghawtebony,View,
2/1/2016,@DodaMaat_,AJ,"""How long will we have a #blackhistorymonth?"" https://t.co/ZwaZCMndEI",694167441518268416,Twitter for iPhone,13838,8838,1093,892,No,7/21/2011,IN|MI Check out my NOVELLA ⬇️,Author|College Student|Afrocentrist|Poet,View,
2/1/2016,@tharealversace,JAY VERSACE,BEING BLACK IS LIT ✊🏾 HAPPY BLACK HISTORY MONTH !!! #BlackHistoryMonth https://t.co/Aa28AemQEa,694167472447078401,Twitter for iPhone,86143,10423,7312,5838,No,12/14/2014,,IM FRICKING CRAZY tharealversace@gmail.com,View,
2/1/2016,@maurachanz,MC,Mood. All month. #BlackHistoryMonth https://t.co/zJjgXR4nNg,694174771546689536,Twitter for iPhone,3187,1627,1845,1407,No,4/15/2009,between i want it and i got it,black girl magic personified. I host The Bossip Report on @Bossip. Create content when I can. Spelman alumna. #blkcreative #bigfrobeatface,View,
2/1/2016,@MusicsRebellion,Music's Rebellion,Here are some of the most successful black artists in music right now. #BlackHistoryMonth https://t.co/cz1OfGTucZ,694176164286459904,Twitter for iPhone,24940,778,1728,1575,No,7/8/2012,,Your ultimate source for your daily dose of original: • Music Updates • Shady Tea • Music Facts & Lists musicsrebellion@outlook.com,View,
2/1/2016,@TinaLaBang,Sophia Petrillo,The last #BlackHistoryMonth with Barack Obama as our president https://t.co/YfuOYJplsV,694178609767038976,Twitter for iPhone,674,314,2357,1930,No,9/4/2010,ATL Bred | CHI Living,"What is this, velvet?",View,
2/1/2016,@cocoabutterbf,Cocoa Butter,Woke up on the first day of #BlackHistoryMonth like https://t.co/DcI4nZPjP3,694179675384451073,Twitter Web Client,9261,43,742,709,No,6/22/2015,,"From Beyonce's latest wig snatch to Uncle Denzel to #BlackLivesMatter, we got what you need. Apply liberally. Brought to you by @BuzzFeed.",View,
2/1/2016,@YOURERAClST,J,happy #BlackHistoryMonth ✊🏾💖 https://t.co/M5HXAtmA1R,694180236754169856,Twitter for iPhone,7960,509,7912,4968,No,8/1/2013,"Los Angeles, CA","probably cute enough to steal your man, but too awkward to",View,
2/1/2016,@TyreeBP,#BlackHistoryMonth,Happy #BlackHistoryMonth! ✊🏾🔑https://t.co/wdV2EE6xKs,694180269780131841,Twitter for iPhone,4026,701,1172,767,No,3/20/2011,TyreeBP@Gmail.com,"Professor | journalist | activist | curator of the next Renaissance | Oh yeah, Erykah Badu follows me.. | Contributor: @BlackVoices • #Templemade.",View,
2/1/2016,@musicnews_facts,Music News & Facts,Beyoncé is the most Grammy Award nominated female artist in the history of the award show. #BlackHistoryMonth https://t.co/epzPWuxCBX,694182696986120192,Twitter Web Client,113454,0,1103,1188,No,1/4/2015,Not affiliated with any acc,The original and ultimate source of music news and facts. For business/promotion DM or email us at musicnews_facts@outlook.com,View,
2/1/2016,@SankofaBrown,Problematic Genius,#BlackHistoryMonth shouldn't be pigeonholed into being a celebration of the first Black people to enter white spaces.,694182833670221825,Twitter for iPhone,46865,1145,2022,1742,No,2/23/2010,"K-town, NC 252",Lecturer. Sociologist. Pan-Africanist. Country. Socialist. Militant. Revolutionary. Twitter OG. Decolonizing from patriarchy everyday.,View,
2/1/2016,@musicnews_facts,Music News & Facts,Nicki Minaj is the most successful female rapper of music history. #BlackHistoryMonth https://t.co/c0B4U2ZJET,694183480830271488,Twitter Web Client,113454,0,1345,1654,No,1/4/2015,Not affiliated with any acc,The original and ultimate source of music news and facts. For business/promotion DM or email us at musicnews_facts@outlook.com,View,
2/1/2016,@benadryI,anal girl,me waking up on the first day of #BlackHistoryMonth ❤️ https://t.co/4Y6PqmTlSD,694187274649616385,Twitter for iPhone,87312,185,553,833,No,3/3/2010,,iconic • pro-hoe,View,
2/1/2016,@melaninist,Black,Happy #BlackHistoryMonth let the #BLACKEXCELLENCE prosper ✊🏽✊🏾✊🏿 https://t.co/jQVVziAlin,694187840142336000,Twitter for iPhone,8845,52,816,485,No,3/30/2015,"Hyattsville, MD",#BLACKLIVESMATTER,View,
2/1/2016,@Stoney_Blu,Stoney Σavage,"Welcome to Freaknik: The South's Most Infamous Spring Break Event. Based in Atlanta, GA #BlackHistoryMonth ✊🏾 https://t.co/20OMFLXo76",694188039220793344,Twitter for iPhone,4832,3903,1512,857,No,5/18/2010,ATL ✈️ ORL ✈️ HTX,"I Took a Wrong Turn Somewhere, Now I'm Here | #BCU Alum | Habitual Finesser | 19-Σ-14",View,
2/1/2016,@TyreeBP,#BlackHistoryMonth,"""I Have a Dream"" *Dab* #BlackHistoryMonth https://t.co/pMPYAkq9Vq",694188273539768321,Twitter for iPhone,4026,701,2106,1819,No,3/20/2011,TyreeBP@Gmail.com,"Professor | journalist | activist | curator of the next Renaissance | Oh yeah, Erykah Badu follows me.. | Contributor: @BlackVoices • #Templemade.",View,
2/1/2016,@YOURERAClST,J,i forgot my personal favorite #BlackHistoryMonth https://t.co/RBLnUWYUtu,694188660955049984,Twitter for iPhone,7960,509,618,519,No,8/1/2013,"Los Angeles, CA","probably cute enough to steal your man, but too awkward to",View,
2/1/2016,@WORLDSTAR,WORLDSTARHIPHOP,#BlackHistoryMonth starts today! We celebrate the amazing work Black leaders have done & continue to do. https://t.co/YWYejIySWP,694189829983055872,Twitter for iPhone,1241430,2495,1037,1223,No,1/6/2008,USA,Entertainment and News Media. iOS and Android apps available for download!,View,
2/1/2016,@PopCrave,Pop Crave,Rihanna is the best selling digital artist of all-time! #BlackHistoryMonth https://t.co/mIqmVqVisY,694189915316305920,Twitter for iPhone,26397,21,949,1152,No,12/9/2015,Formerly 'PopCultureShady',Ultimate & fastest source for Pop Culture News. Business Inquiries: PopCultureShade@gmail.com,View,
2/1/2016,@MusicsRebellion,Music's Rebellion,"Rihanna's the best selling black female artist EVER, with over 265 million records sold worldwide #BlackHistoryMonth https://t.co/qLBMY4hVxn",694190643770425345,Twitter for iPhone,24940,778,2277,2346,No,7/8/2012,,Your ultimate source for your daily dose of original: • Music Updates • Shady Tea • Music Facts & Lists musicsrebellion@outlook.com,View,
2/1/2016,@instagram,Instagram,“The pencil represents persistence. You can use the pencil to the last drop of lead.” —Aniekan Udofia #BlackHistoryMonth,694193026072199168,Twitter Web Client,41111757,4,703,1894,No,8/19/2010,,Discovering — and telling — stories from around the world. Curated by Instagram's community team. Need help? Visit https://t.co/OQR3Kbbcdw.,View,
2/1/2016,@PopCrave,Pop Crave,Beyoncé has received more Grammy nominations than any other female artist in history. #BlackHistoryMonth https://t.co/N5PmGStSEw,694194055404752896,Twitter for iPhone,26397,21,548,573,No,12/9/2015,Formerly 'PopCultureShady',Ultimate & fastest source for Pop Culture News. Business Inquiries: PopCultureShade@gmail.com,View,
2/1/2016,@_Makailaaa,Big Homie ⚡️,#BlackHistoryMonth y'all better embrace that melanin 😘 https://t.co/Dx8HGsNnpo,694194221989912576,Twitter for iPhone,997,813,672,501,No,7/12/2009,901-423,Blessed. UTC. I'm just trying to be great. #RIPGrandma ❤️,View,
2/1/2016,@aVeryRichBitch,I Luh God ✨,George Washington Carver - developed 300 uses for peanuts. #BlackHistoryMonth https://t.co/B21uxEn4vz,694194425249959936,Twitter for Android,31513,438,1197,1219,No,4/12/2013,filing your man's taxes,My name is Tiffany ♉️ and I am that bitch. I love @LilKim. Come into my mentions sideways and prepare for a nice drag.,View,
2/1/2016,@HillaryClinton,Hillary Clinton,"This #BlackHistoryMonth, we honor those who sacrificed for equality & fought for justice, and we recognize those who carry on the legacy. -H",694195375670976512,TweetDeck,5331436,579,3226,4853,No,4/9/2013,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed –H",View,
2/1/2016,@PopCrave,Pop Crave,Beyoncé is the only ever artist to have all her albums debut at #1 in the US & receive a Grammy. #BlackHistoryMonth https://t.co/8W6CGuJAkW,694196468530483201,Twitter for iPhone,26397,21,556,536,No,12/9/2015,Formerly 'PopCultureShady',Ultimate & fastest source for Pop Culture News. Business Inquiries: PopCultureShade@gmail.com,View,
2/1/2016,@MusicsRebellion,Music's Rebellion,Nicki Minaj is the biggest selling and most awarded female rapper of all time. #BlackHistoryMonth https://t.co/t70jSM1d4f,694196471055433728,Twitter for iPhone,24940,778,547,663,No,7/8/2012,,Your ultimate source for your daily dose of original: • Music Updates • Shady Tea • Music Facts & Lists musicsrebellion@outlook.com,View,
2/1/2016,@JizzaRaw,with the beads,#BlackHistoryMonth Allen Iverson getting his hair braided by his mother in the middle of an NBA game. https://t.co/35aBU3xibb,694197179070746626,Twitter for iPhone,954,445,17725,13837,No,12/29/2011,West Earth ,Word attachment specialist. #BearlyBlunt /#HomeGrownPhilly / #Pxrch / #WithTheBeads / Features/Bookings: acegangjerm@gmail.com,View,
2/1/2016,@TeenVogue,Teen Vogue,Happy #BlackHistoryMonth! @amandlastenberg and friends celebrate why black is beautiful. https://t.co/0MdIGaZSGZ,694197284645371905,SnappyTV.com,2554556,2803,1462,1755,No,3/13/2009,,Future tastemakers start here.,View,
2/1/2016,@PopCrave,Pop Crave,The first five songs (in history) to debut at #1 on the Billboard Hot 100 are by black artists. #BlackHistoryMonth https://t.co/q2nDbuclWW,694198014815158272,Twitter for iPhone,26397,21,578,608,No,12/9/2015,Formerly 'PopCultureShady',Ultimate & fastest source for Pop Culture News. Business Inquiries: PopCultureShade@gmail.com,View,
2/1/2016,@google,Google,Today’s #GoogleDoodle honors the life and work of Frederick Douglass → https://t.co/3Ya7c8hODj #BlackHistoryMonth https://t.co/Zu2S2dzaug,694199655656263680,Sprinklr,13855448,441,688,1016,No,2/10/2009,"Mountain View, CA",News and updates from Google,View,
2/1/2016,@DopeBlackKing,King Sh*t.,Me all throughout the month of February! #BlackHistoryMonth! And yes #BlackLivesStillMatter! https://t.co/S9chPHebTe,694201260296245249,Twitter for iPhone,2148,1372,2146,1957,No,5/17/2009,Shady Lane,hakeem | my love ain't watery | lover of black art & media | finding the magick within | ✊✨| #resilient | #blkcreative | #allblacklivesmatter,View,
2/1/2016,@yaboiidrizzy,® TYBG,✊🏾 HAPPY BLACK HISTORY MONTH !!! #BlackHistoryMonth https://t.co/zZCQaD1cha,694202229025292288,Twitter for Android,28014,5863,752,564,No,12/23/2011,"Chicago, IL",PMHS Senior // SC: akarijones,View,
2/1/2016,@michaeljackson,Michael Jackson,"“Jackson earned his pop icon status by creating music that transcended genres"" - @TODAYshow on MJ #BlackHistoryMonth https://t.co/AesPEUTd9F",694203731206934528,Hootsuite,1934602,0,1856,3377,No,7/6/2009,"New York, NY USA",The Official Michael Jackson Twitter Page,View,
2/1/2016,@NASA_Johnson,Johnson Space Center,The first African American woman in space was Mae Jemison. Celebrate #BlackHistoryMonth! https://t.co/Ms3j3bMYTV,694204192991346688,Twitter Web Client,454010,146,1515,2163,No,6/23/2009,"Houston, TX","NASA's JSC is the lead center for the International Space Station and the Orion spacecraft, and the home of the Mission Control Center and NASA astronaut corps.",View,
2/1/2016,@_EliRockwell,Que,Happy #BlackHistoryMonth https://t.co/eZ3e0FILb2,694210006825209856,Twitter for Android,72836,46041,1117,668,No,11/20/2010,North Carolina,"Ou paka bat m'wen, sak pase! | #PantherNation #KeepPounding | Snapchat/Instagram: elirockwell",View,
2/1/2016,@ExtraordinaryH8,Fuck Yo Timeline,Happy #BlackHistoryMonth y'all https://t.co/MpPfWIJakP,694213811881033728,Hootsuite,13283,12995,1773,1270,No,10/14/2011,凸 (►_◄) 凸 ℒᵉͥᵍ͢ᵉͣᵑͫᵈ 凸 (►_◄) 凸,"Only believe 5% of what I tweet! But make sure you follow me tho, otherwise you fuckin up",View,
2/1/2016,@ReactionBeyonce,Beyoncé Reactions,Beyoncé is the only ever artist to have all her albums debut at #1 in the US & receive a Grammy. #BlackHistoryMonth https://t.co/eJQcOvwwRc,694215282894573568,Twitter for iPhone,221044,1,1359,2442,No,1/21/2013,,EVERYTHING BEYONCÉ *parody account*,View,
2/1/2016,@SirAbiola,IG & SC: SirAbiola,White People During #BlackHistoryMonth https://t.co/Zsc8NhgCQW,694216804311265281,Twitter for iPhone,19624,838,3132,3345,No,2/12/2012,UK✈️USA | House Of #ΑΦΑ,❗️WATCH ALL MY VIDEOS IN MY LIKES❗️ ⬇️Subscribe To My YouTube Channel Below⬇️,View,
2/1/2016,@AfricaAesthetic,African Aesthetics,black is beautiful. #BlackHistoryMonth https://t.co/RuY9MJt653,694221230778531841,Twitter for Android,3380,1,1418,1425,No,1/24/2009,AFRICA,"showcasing african aesthetics, arts and culture. i do not own any of the images posted. all rights reserved to the owner. enquiries:@jiniaiko",View,
2/1/2016,@YouTube,YouTube,Kicking off #BlackHistoryMonth with a playlist celebrating influential black creators → https://t.co/0yt5jRgPUq https://t.co/LOaEagFewS,694226072590749697,Twitter Web Client,59353868,909,741,2149,No,11/13/2007,"San Bruno, CA","Tweets on music, trends and all that is awesome in the world of YouTube.",View,
2/1/2016,@TEDTalks,TED Talks,10 TED Talks to celebrate #BlackHistoryMonth: https://t.co/IQsVAVLTX6 https://t.co/IL41oNi8fZ,694226401684279298,SocialFlow,7075071,457,518,524,No,7/19/2008,"New York, NY",The official feed for http://t.co/XyGsGk6F0m. Ideas worth spreading.,View,
2/1/2016,@ShujaRabbani,Shuja Rabbani,It's the start of #BlackHistoryMonth. Is it an American thing? I don't know anything about it. Share all you can.,694230777366745088,Twitter for Android,282789,2009,1416,1350,No,6/8/2011,"Dubai, United Arab Emirates","Electronic Dance Music (EDM) producer, unapologetic blogger & writer from Afghanistan. New album 'Alpha Male' out now. Follow hashtag #EDMA on all social media.",View,
2/1/2016,@tonibraxton,Toni Braxton,"""Bringing the gifts that my ancestors gave, I am the dream & the hope of the slave. I rise. I rise. I rise"" Maya Angelou #BlackHistoryMonth",694232692305612801,Twitter Web Client,1630060,248,714,1062,No,12/15/2008,"Calabasas, CA",Mother First! Singer/Aunt/Author/Actress/Entertainer/Chef/Sister/Daughter/ - TB,View,
2/1/2016,@NICKIPURPOSE,FORMATION,holy trinity #BlackHistoryMonth https://t.co/Id8yT0Z155,694237709276094464,Twitter for Android,2795,1141,974,1010,No,1/23/2012,TEAM MINAJ (x1),perfection is a disease of a nation.,View,
2/1/2016,@WhiteHouse,The White House,Let's keep marching until no one is judged by anything but the content of their character. #BlackHistoryMonth https://t.co/tVFsGQ9PEl,694238049715130369,TweetDeck,9044296,218,5258,7417,No,4/10/2009,"Washington, DC","Follow for the latest from President Obama and his Administration. For tweets from the President, follow @POTUS. Tweets may be archived: https://t.co/eVVzoBb3Zr",View,
2/1/2016,@RoniLloyd18,Roni :),Happy #BlackHistoryMonth ✊🏿✊🏾✊🏽 https://t.co/fq2TIQGcTL,694243737149558786,Twitter for iPhone,758,210,2254,1665,No,10/2/2011,snapchat: ronnii18,paradise is a state of mind.,View,
2/1/2016,@ajplus,AJ+,"""Say it #BlackLivesMatter. It's OK. We do matter. You don't matter any less."" #BlackHistoryMonth https://t.co/FQnpOc2PXq",694243753968537600,Twitter Web Client,178829,316,3238,3042,No,2/1/2010,,"AJ+ is news for the connected generation, sharing human struggles, and challenging the status quo. Download the app to be a part of a global community.",View,
2/1/2016,@WeFinessin,Alonzo,"I'm not racist but why isn't there a Whi–"" #BlackHistoryMonth https://t.co/DRSLQ1BEXp",694243777867845634,Twitter for iPhone,24734,21608,1542,1368,No,11/13/2011,Tomorrowland ,WVU,View,
2/1/2016,@pettyyonceh,.,Scandal speaking on how black ppl have to be twice as good to get half of what white people have. #BlackHistoryMonth https://t.co/hnWsaqy4yi,694254053656670209,Twitter for iPad,2745,422,1212,1218,No,4/27/2014,,i did not come to play with you hoes i came to slay bitch,View,
2/1/2016,@ajplus,AJ+,"As #BlackHistoryMonth begins, we remember the black lives lost in 2015 https://t.co/AdqQJF1ibC",694259488275111936,Twitter Web Client,178829,316,655,433,No,2/1/2010,,"AJ+ is news for the connected generation, sharing human struggles, and challenging the status quo. Download the app to be a part of a global community.",View,
2/1/2016,@_MissGorjess,G o r J e s s,Donyale Luna. First black model on the cover of @voguemagazine #BlackHistoryMonth https://t.co/BT1WQ3N99X,694261729698652160,Twitter for Android,1090,955,1770,1717,No,2/5/2012,,"26. Aesthete. || She moved with unapologetic conviction. Slayer of presumption, ruler of self.",View,
2/1/2016,@BlvckConscious,Kiaira,Hey Black Child written by Useni Perkins and recited by 3 year old Pe'tehn Kem. #BlackHistoryMonth https://t.co/1k6dEfujDz,694263053148385280,Twitter for iPhone,8416,155,1512,1621,No,9/30/2014,"Florida, USA","We should emphasize not Negro History, but the Negro in history.",View,
2/1/2016,@MadameNoire,MadameNoire,What's the best #BlackHistoryMonth gif you've seen so far today? We're feeling this one https://t.co/XPPiS2inky,694265400192864256,Twitter Web Client,74595,17471,608,574,No,4/29/2010,Parent Company: @Moguldom,"**Madame Noire** is a passionate, cutting-edge web publication geared towards African American women.",View,
2/1/2016,@GeeksOfColor,Geeks Of Color,Happy #BlackHistoryMonth https://t.co/NO5862CynJ,694266909991120896,Twitter for iPhone,5874,122,863,939,No,12/28/2015,By Superhero Feed,"Welcome to #GeeksOfColor! Here we inform, entertain and interact in support of diverse comics, writers, artists, characters and more. Follow now!",View,
2/1/2016,@Gi_Josephs,Brian-Jon Josephs,"""boy bye"" #BlackHistoryMonth https://t.co/J6fr25Abh0",694270972082442240,TweetDeck,1132,711,3974,2421,No,4/17/2013,Jamaica,Uyf,View,
2/1/2016,@AsToldByBrina,Sabrina.,And show it to Raven RT @IAmRavenBaxter: Disney Channel should show That's So Raven episodes for #BlackHistoryMonth https://t.co/AlgE2CZoVJ,694271024494465024,Twitter for Android,43630,25148,767,503,No,5/11/2009,585,,View,
2/1/2016,@Realbrianaroy,BRIANA ROY ❤️,In Honor of #BlackHistoryMonth ❤️💪 https://t.co/G8ZZcvoa3b,694271235706847232,Twitter for iPhone,21379,64,355,785,No,7/16/2015,"Los Angeles, CA ",Instagram : BrianaRoy | Musical.Ly : RealBrianaRoy | Facebook Like Page : Briana Roy & Vine : Briana Roy,View,
2/1/2016,@MikeElChingon,Mexican Rug Dealer,"Jack Johnson, first African-American heavyweight boxing champion #BlackHistoryMonth https://t.co/BaY32RG3Fu",694272576072187905,Twitter Web Client,25834,17988,1035,900,No,9/15/2015,"Los Angeles, CA",Photographer / Mexican & Persian / SC: rawestmike,View,
2/1/2016,@WorIdStarComedy,WORLD STAR FANS,Happy #BlackHistoryMonth!✊🏿❤️ https://t.co/pFi6J6TeD5,694276923778809856,Twitter for iPhone,338659,249335,1166,1177,No,7/27/2012,,"NOT Affiliated With @WORLDSTAR or Vine. We Do Not Own The Media That Is Posted, Parody . 18+ Content wscomedybusiness@gmail.com",View,
2/1/2016,@Odyism,Odera,For #BlackHistoryMonth I'm celebrating my favorite illustrators of the african diaspora. 1st is #ThomasBlackshear https://t.co/xnhKjk7qrE,694280827753095169,Twitter Web Client,615,423,1512,1998,No,6/20/2009,"Brooklyn, NY","Illustrator | https://t.co/M1361mcGup Somewhere between an Erykah Badu song, a soul train line, a Sailor Moon transformation, and a Final Fantasy save crystal.",View,
2/1/2016,@ChildhoodShows,Childhood Shows,Throwback to when Disney Channel actually taught children important issues for #BlackHistoryMonth https://t.co/hpsbPlkXfw,694283348760530946,Twitter Web Client,183113,3,2955,4271,No,2/10/2013,,Reliving all of the childhood shows and movies from late 90's and 2000's,View,
2/1/2016,@FUCCl,264,Rihanna is the best selling black female artist of all time. Selling 264 million records WW. #BlackHistoryMonth https://t.co/3hKOzMK0eG,694285827816472577,Twitter for iPhone,12685,996,584,540,No,10/13/2012,,Tastemaker.,View,
2/1/2016,@MikeElChingon,Mexican Rug Dealer,"Martin Luther King, Jr. the first African-American to be TIME's Man of the Year #BlackHistoryMonth https://t.co/VppDmSRPBc",694288816157241344,Twitter Web Client,25834,17988,959,856,No,9/15/2015,"Los Angeles, CA",Photographer / Mexican & Persian / SC: rawestmike,View,
2/1/2016,@1942bs,reggie,Forever showing love to the most beautiful first family in America's history. Im gonna miss them #BlackHistoryMonth https://t.co/sAw7xzcZj4,694293924567998466,Twitter for iPhone,7835,1399,906,889,No,11/30/2011,,Barbra Streisand,View,
2/1/2016,@MikeElChingon,Mexican Rug Dealer,"One of the most brutal knockouts in history (Johnson v. Ketchel, 1908) 👊 He took out 2 teeth #BlackHistoryMonth https://t.co/oNWq7JBUDX",694298028329422848,Twitter Web Client,25834,17988,491,329,No,9/15/2015,"Los Angeles, CA",Photographer / Mexican & Persian / SC: rawestmike,View,
2/1/2016,@BlackGirlsWinni,Black Girls ®,Barack Hussein Obama II The first african-american president of the United States of America. #BlackHistoryMonth https://t.co/HKKwBZy3Jd,694303687976456192,Twitter for Android,68353,1568,2425,2378,No,12/26/2014,United States,• Celebrating beautiful black girls of ALL SHADES!! • Ran by Black girl! (duh) •use hashtag #myblackiswinning to be featured •,View,
2/1/2016,@BlackGirlsWinni,Black Girls ®,- Mae C. Jemison First African-American female astronaut. #BlackHistoryMonth https://t.co/4aJ3ontM2w,694304972863700992,Twitter for Android,68353,1568,1343,1449,No,12/26/2014,United States,• Celebrating beautiful black girls of ALL SHADES!! • Ran by Black girl! (duh) •use hashtag #myblackiswinning to be featured •,View,
2/1/2016,@BlackGirlsWinni,Black Girls ®,The Haitian revolution • 1st SUCCESSFUL slave rebellion. • First Black Republic in the world. #BlackHistoryMonth https://t.co/yCiFHsvij7,694309397682528256,Twitter for Android,68353,1568,1898,1599,No,12/26/2014,United States,• Celebrating beautiful black girls of ALL SHADES!! • Ran by Black girl! (duh) •use hashtag #myblackiswinning to be featured •,View,
2/1/2016,@blackbirds,blackbirds,We're excited to celebrate Black History Month with a new emoji. Join the conversation all month long with #BlackHistoryMonth or #BHM!,694316090688565248,Twitter Web Client,56693,200,1189,1727,No,6/5/2014,#JoinTheFlock,The official account for #Blackbirds @Twitter. We’re here to celebrate and encourage diverse perspectives.,View,
